entity_id	death_flag	base_lot	lot_id	slot	category	item_id	item_name	quantity	acquisition_flag	weight	total_weight	chance_percent
2045460200	2045460200	2045460500	2045460500	1	1	2020035	Furnace Visage	1	2045467500	1000	1000	100.0
2045460200	2045460200	2045460500	2045460501	1	1	2011020	Crimson-Sapping Cracked Tear	1	65420	1000	1000	100.0
2050460300	2050460300	2050460500	2050460500	1	1	2020035	Furnace Visage	1	2050467500	1000	1000	100.0
2050460300	2050460300	2050460500	2050460501	1	1	2011050	Bloodsucking Cracked Tear	1	65450	1000	1000	100.0
2050460310	2050460310	2050460510	2050460510	1	1	2020035	Furnace Visage	1	2050467510	1000	1000	100.0
2050460310	2050460310	2050460510	2050460511	1	1	2011040	Oil-Soaked Tear	1	65440	1000	1000	100.0
2246390200	2046390200	2046390060	2046390060	1	1	2020035	Furnace Visage	1	2046397060	1000	1000	100.0
2246390200	2046390200	2046390060	2046390061	1	1	2011060	Glovewort Crystal Tear	1	65460	1000	1000	100.0
2246420300	2046420300	2046420980	2046420980	1	1	2020035	Furnace Visage	1	2046427980	1000	1000	100.0
2246420300	2046420300	2046420980	2046420981	1	1	2011070	Deflecting Hardtear	1	65470	1000	1000	100.0
2248400200	2048400200	2048400020	2048400020	1	1	2020035	Furnace Visage	1	2048407020	1000	1000	100.0
2248400200	2048400200	2048400020	2048400021	1	1	2011000	Viridian Hidden Tear	1	65400	1000	1000	100.0
2248460291	2248460291	2048460700	2048460700	1	1	2011010	Crimsonburst Dried Tear	1	65410	1000	1000	100.0
2248460291	2248460291	2048460700	2048460701	1	1	2020035	Furnace Visage	1	2048467701	1000	1000	100.0
2251450280	2251450280	2051450700	2051450700	1	1	2020035	Furnace Visage	1	2051457700	1000	1000	100.0
2251450280	2251450280	2051450700	2051450701	1	1	2011030	Cerulean-Sapping Cracked Tear	1	65430	1000	1000	100.0
