claim_id	subject_kind	subject_id	claim_kind	game_version	value	status	risk	adjudication	evidence_ids	last_reviewed	review_issue	active	supersedes
check:7770000/detection	check	7770000	detection	1.17	"{""flag"":114,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	single_source	high	automatic	game:param:ItemLotParam_map:14000960:getItemFlagId:check-7770000	2026-08-31	#1220	true
check:7770000/identity	check	7770000	identity	1.17	"{""ap_id"":7770000,""flag"":114,""id"":114,""namespace"":""flag""}"	single_source	medium	automatic	project:data.py:6f66c100ca4aeb89080bfec01ee78fb9b4e4822a2c1076a56fda489248bdc7bc:check-7770000:identity	2026-08-31	#1211	true
check:7770000/region	check	7770000	region	1.17	"""Raya Lucaria Academy"""	single_source	high	automatic	project:data.py:6f66c100ca4aeb89080bfec01ee78fb9b4e4822a2c1076a56fda489248bdc7bc:check-7770000:region	2026-08-31	#1211	true
check:7770001/detection	check	7770001	detection	1.17	"{""flag"":171,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	single_source	high	automatic	game:param:ItemLotParam_map:10010:getItemFlagId:check-7770001	2026-08-31	#1220	true
check:7770001/identity	check	7770001	identity	1.17	"{""ap_id"":7770001,""flag"":171,""id"":171,""namespace"":""flag""}"	single_source	medium	automatic	project:data.py:6f66c100ca4aeb89080bfec01ee78fb9b4e4822a2c1076a56fda489248bdc7bc:check-7770001:identity	2026-08-31	#1211	true
check:7770001/region	check	7770001	region	1.17	"""Stormveil"""	single_source	high	automatic	project:data.py:6f66c100ca4aeb89080bfec01ee78fb9b4e4822a2c1076a56fda489248bdc7bc:check-7770001:region	2026-08-31	#1211	true
check:7770002/detection	check	7770002	detection	1.17	"{""flag"":172,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	single_source	high	automatic	game:param:ItemLotParam_map:10301:getItemFlagId:check-7770002	2026-08-31	#1220	true
check:7770002/identity	check	7770002	identity	1.17	"{""ap_id"":7770002,""flag"":172,""id"":172,""namespace"":""flag""}"	single_source	medium	automatic	project:data.py:6f66c100ca4aeb89080bfec01ee78fb9b4e4822a2c1076a56fda489248bdc7bc:check-7770002:identity	2026-08-31	#1211	true
check:7770002/region	check	7770002	region	1.17	"""Caelid"""	single_source	high	automatic	project:data.py:6f66c100ca4aeb89080bfec01ee78fb9b4e4822a2c1076a56fda489248bdc7bc:check-7770002:region	2026-08-31	#1211	true
check:7770003/detection	check	7770003	detection	1.17	"{""flag"":173,""mechanism"":""ItemLotParam_map.getItemFlagId""}"	single_source	high	automatic	game:param:ItemLotParam_map:10041:getItemFlagId:check-7770003	2026-08-31	#1220	true
check:7770003/identity	check	7770003	identity	1.17	"{""ap_id"":7770003,""flag"":173,""id"":173,""namespace"":""flag""}"	single_source	medium	automatic	project:data.py:6f66c100ca4aeb89080bfec01ee78fb9b4e4822a2c1076a56fda489248bdc7bc:check-7770003:identity	2026-08-31	#1211	true
check:7770003/region	check	7770003	region	1.17	"""Leyndell"""	single_source	high	automatic	project:data.py:6f66c100ca4aeb89080bfec01ee78fb9b4e4822a2c1076a56fda489248bdc7bc:check-7770003:region	2026-08-31	#1211	true
