source_id	page_id	revision_id	revision_timestamp	revision_sha1	title	canonical_url	revision_url	ap_item_name	template_fields	ap_region	disposition
wiki:fextralife:page-20508:revision-757749	20508	757749	2026-08-21T21:32:55Z	5c35c2d6e3d35fadd80f099ad0f68858d1aa5d2e	Stalwart Horn Charm	https://eldenring.wiki.fextralife.com/Stalwart_Horn_Charm	https://eldenring.wiki.fextralife.com/Stalwart_Horn_Charm?oldid=757749	Stalwart Horn Charm	location1	Liurnia	lead_only
wiki:fextralife:page-20509:revision-743392	20509	743392	2026-08-06T15:19:13Z	cb86dffca7b2eafaae26456ec2a84aa00cb4fcf7	Remembrance of Hoarah Loux	https://eldenring.wiki.fextralife.com/Remembrance_of_Hoarah_Loux	https://eldenring.wiki.fextralife.com/Remembrance_of_Hoarah_Loux?oldid=743392	Remembrance of Hoarah Loux			lead_only
wiki:fextralife:page-20514:revision-757576	20514	757576	2026-08-21T21:26:56Z	fddbc0eaa97534b712206a5c241c5a68b1766b93	Remembrance of Putrescence	https://eldenring.wiki.fextralife.com/Remembrance_of_Putrescence	https://eldenring.wiki.fextralife.com/Remembrance_of_Putrescence?oldid=757576	Remembrance of Putrescence			lead_only
wiki:fextralife:page-20515:revision-757825	20515	757825	2026-08-21T21:34:24Z	787907ea830327b15351cb7c6bc79c088df370b0	Braided Arm Wraps	https://eldenring.wiki.fextralife.com/Braided_Arm_Wraps	https://eldenring.wiki.fextralife.com/Braided_Arm_Wraps?oldid=757825	Braided Arm Wraps			lead_only
wiki:fextralife:page-20516:revision-757933	20516	757933	2026-08-21T21:36:32Z	9ea463acbb128290a307bb20392bb1a6ed06a908	Godskin Apostle Trousers	https://eldenring.wiki.fextralife.com/Godskin_Apostle_Trousers	https://eldenring.wiki.fextralife.com/Godskin_Apostle_Trousers?oldid=757933	Godskin Apostle Trousers	location1	Caelid	lead_only
wiki:fextralife:page-20523:revision-757826	20523	757826	2026-08-21T21:34:25Z	5ec0fa635c86164f137629de34003358817b95e3	Braided Cord Robe	https://eldenring.wiki.fextralife.com/Braided_Cord_Robe	https://eldenring.wiki.fextralife.com/Braided_Cord_Robe?oldid=757826	Braided Cord Robe			lead_only
wiki:fextralife:page-20524:revision-757578	20524	757578	2026-08-21T21:26:58Z	7cef1badc4d2c465b43c9f1668d994ceea613559	Remembrance of the Black Blade	https://eldenring.wiki.fextralife.com/Remembrance_of_the_Black_Blade	https://eldenring.wiki.fextralife.com/Remembrance_of_the_Black_Blade?oldid=757578	Remembrance of the Black Blade			lead_only
wiki:fextralife:page-20527:revision-756544	20527	756544	2026-08-21T21:06:25Z	f41e1a16927a925f4b4b4aa8c23afd9781295f89	Inescapable Frenzy	https://eldenring.wiki.fextralife.com/Inescapable_Frenzy	https://eldenring.wiki.fextralife.com/Inescapable_Frenzy?oldid=756544	Inescapable Frenzy			lead_only
wiki:fextralife:page-20529:revision-757453	20529	757453	2026-08-21T21:24:31Z	554818b703d03e716c7481924e5ec81cf2795d92	Abandoned Merchant's Bell Bearing	https://eldenring.wiki.fextralife.com/Abandoned_Merchant's_Bell_Bearing	https://eldenring.wiki.fextralife.com/Abandoned_Merchant's_Bell_Bearing?oldid=757453	Abandoned Merchant's Bell Bearing	location1	Siofra River	lead_only
wiki:fextralife:page-20530:revision-757579	20530	757579	2026-08-21T21:26:59Z	46eeaf9da3f46e1409ee0a948c07a7536a031a85	Remembrance of the Blasphemous	https://eldenring.wiki.fextralife.com/Remembrance_of_the_Blasphemous	https://eldenring.wiki.fextralife.com/Remembrance_of_the_Blasphemous?oldid=757579	Remembrance of the Blasphemous			lead_only
