# AUTO-GENERATED by tools/datamine_enemy_drops.py -- DO NOT EDIT, re-emit.
# NpcParam.itemLotId_enemy -> the ItemLotParam_enemy lot GROUP (base+0.. while the row exists and is
# not another NpcParam's base) -> its 1..8 item slots. One row per (npc_id, lot, slot).
# POLARITY: flag>0 = ONE-TIME drop (getItemFlagId; the game never rolls it again -- a CHECK
# candidate). flag blank = FARMABLE, rolls on every kill, never a check.
# chance_pct is the slot's share of ITS OWN ROW's weight (the row's missing weight is the
# "nothing" slot), not of the enemy's whole drop table.
# npc_name is blank unless the game itself ships a name (tables/enemy_names.py); wiki names are
# not invented here. map_id/part are filled only where the flag has exactly ONE source=enemy
# placement in msb_flag_region.tsv.
# 🛑 No row here is an AP location. Whether flagged enemy drops become checks is a product ruling.
npc_id	npc_name	chr_id	lot	slot	category	item_id	full_id	item_name	num	chance_pct	flag	map_id	part
20410056		2041	204100100	2	1	20801	1073762625	Aeonian Butterfly	1	5.0000			
21400000		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400012		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400030		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400034		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400035		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400100		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400114		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400120		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400130		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400135		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400200		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400235		2140	214000990	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400235		2140	214000991	1	1	3010	1073744834	Omen Bairn	1	100.0000	35007990		
21400300		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400335		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400400		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400435		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400600		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400633		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400900		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21400930		2140	214000000	2	2	8060000	8060000	Omen Cleaver	1	4.0000			
21401000		2140	214000100	2	2	15010000	15010000	Warped Axe	1	4.0000			
21401030		2140	214000100	2	2	15010000	15010000	Warped Axe	1	4.0000			
21401035		2140	214000100	2	2	15010000	15010000	Warped Axe	1	4.0000			
21401100		2140	214000100	2	2	15010000	15010000	Warped Axe	1	4.0000			
21401120		2140	214000100	2	2	15010000	15010000	Warped Axe	1	4.0000			
21401130		2140	214000100	2	2	15010000	15010000	Warped Axe	1	4.0000			
21401135		2140	214000100	2	2	15010000	15010000	Warped Axe	1	4.0000			
21401200		2140	214000100	2	2	15010000	15010000	Warped Axe	1	4.0000			
21401235		2140	214000100	2	2	15010000	15010000	Warped Axe	1	4.0000			
21401300		2140	214000100	2	2	15010000	15010000	Warped Axe	1	4.0000			
21401335		2140	214000100	2	2	15010000	15010000	Warped Axe	1	4.0000			
21401400		2140	214000100	2	2	15010000	15010000	Warped Axe	1	4.0000			
21401435		2140	214000100	2	2	15010000	15010000	Warped Axe	1	4.0000			
21401600		2140	214000100	2	2	15010000	15010000	Warped Axe	1	4.0000			
21401900		2140	214000100	2	2	15010000	15010000	Warped Axe	1	4.0000			
