# AUTO-GENERATED by tools/datamine_msb_gated_treasures.py -- DO NOT EDIT, re-emit.
# MSB Event/Treasure records with StartDisabled=1: the item is not in the world
# at map load. 🛑 THIS IS NOT A RISK LIST, and the cross-tab below is why.
#   InChest=0  StartDisabled=0  :  3112
#   InChest=0  StartDisabled=1  :     1
#   InChest=1  StartDisabled=0  :   117
#   InChest=1  StartDisabled=1  :   141
#   InChest=2  StartDisabled=0  :   502
#   InChest=2  StartDisabled=1  :    21
# 162 of 163 StartDisabled=1 records are InChest>=1; of the 3113 pickups NOT in a
#   container only 1 is StartDisabled. The field tracks the CONTAINER, not access:
#   an item in a closed chest is not in the world until the lid opens.
# See tools/datamine_treasure_enablers.py + greenfield/treasure_enablers.tsv for the
#   enabler join: 18 of 136 have any enabler, 13 of those are in-place, ONE is a
#   genuine cross-region prerequisite (f580600 waits on 9146, Messmer, m21_01).
# MEASURED THIS RUN: 3894 treasure records, 163 gated w/ lot, 158 resolved to a flag,
#   155 rows = 136 DISTINCT live AP checks (rows > checks: treasure records share
#   lots). Gated-but-no-lot: 0. Unreadable: 0.
# ENTITY KEYS: `entity_id` is the Treasure EVENT's EntityID, `asset_entity_id` is
#   the Part/Asset EntityID. EnableAssetTreasure is MEASURED to accept EITHER, so a
#   consumer must try BOTH or it misses a family. Both are 0/empty on many rows --
#   those treasures have NO entity handle and can never be script-enabled.
# in_chest: 0 = loose pickup, 1 = inside a chest, 2 = item-glow/container.
map_id	treasure_name	item_lot_id	treasure_part	entity_id	asset_entity_id	asset_model	part_dir	in_chest	flag	is_live_check	is_corpse
m10_00_00_00	【宝死体】 78 巨大敵破壊アセット宝	10000780	AEG099_635_9000	0	10001698	AEG099_635	Asset	2	10007780	1	1
m10_00_00_00	【宝箱】 00	10000960	AEG099_630_9000	0	10001250	AEG099_630	Asset	1	10007960	1	0
m10_00_00_00	【宝箱】 01	10000970	AEG099_630_9001	0	10001251	AEG099_630	Asset	1	10007970	1	0
m10_00_00_00	【宝箱】 03	10000990	AEG099_630_9003	0	10001253	AEG099_630	Asset	1	10007990	1	0
m10_00_00_00	【宝箱】 兵舎地下ガーゴイル部屋【day1追加】	10000965	AEG099_630_9004	0	0	AEG099_630	Asset	1	10007965	1	0
m10_00_00_00	【宝箱】 城壁内部 罠部屋【daｙ1追加】	10000975	AEG099_630_9005	0	0	AEG099_630	Asset	1	10007975	1	0
m10_01_00_00	宝箱 000	10010900	AEG099_630_9000	0	10011600	AEG099_630	Asset	1	10017900	1	0
m11_00_00_00	【day1追加】宝0015 大樹聖堂 2階 宝箱	11000015	AEG099_630_9005	0	0	AEG099_630	Asset	1	11007015	1	0
m11_00_00_00	宝死体013　→調香詰所の宝箱004に変更	11000130	AEG099_630_9004	0	0	AEG099_630	Asset	1	66710	0	1
m11_00_00_00	宝箱002	11000980	AEG099_630_9002	0	0	AEG099_630	Asset	1	11007980	1	0
m11_00_00_00	宝箱003	11001020	AEG099_630_9003	0	0	AEG099_630	Asset	1	11007994	1	0
m11_10_00_00	宝死体070	11100700	AEG099_630_9000	0	11101670	AEG099_630	Asset	1	11107700	1	1
m11_10_00_00	宝死体071	11100710	AEG099_630_9001	0	11101671	AEG099_630	Asset	1	11107710	1	1
m13_00_00_00	宝箱000	13000900	AEG099_632_9000	0	0	AEG099_632	DummyAsset	1	13007900	1	0
m13_00_00_00	宝箱001	13000910	AEG099_632_9001	0	0	AEG099_632	DummyAsset	1	13007910	1	0
m13_00_00_00	宝箱002	13000920	AEG099_632_9002	0	0	AEG099_632	Asset	1	13007920	1	0
m13_00_00_00	宝箱003	13000930	AEG099_632_9003	0	0	AEG099_632	DummyAsset	1		0	0
m13_00_00_00	宝箱004	13000940	AEG099_632_9004	0	0	AEG099_632	Asset	1	13007940	1	0
m13_00_00_00	宝箱005	13000950	AEG099_632_9005	0	0	AEG099_632	Asset	1	13007950	1	0
m14_00_00_00	宝 アイテム光 隠し部屋上層 →宝箱に変更中	14000880	AEG099_630_9003	0	14001603	AEG099_630	Asset	1	14007880	1	0
m14_00_00_00	宝箱000	14000900	AEG099_630_9000	0	14001600	AEG099_630	Asset	1	66410	1	0
m14_00_00_00	宝箱001	14000910	AEG099_630_9001	0	14001601	AEG099_630	Asset	1	14007910	1	0
m14_00_00_00	宝箱002	14000920	AEG099_630_9002	0	14001602	AEG099_630	Asset	1	14007920	1	0
m14_00_00_00	宝箱004	14000940	AEG099_630_9004	0	14001604	AEG099_630	Asset	1	14007940	1	0
m14_00_00_00	宝箱005	14000950	AEG099_630_9005	0	14001605	AEG099_630	Asset	1	67420	1	0
m14_00_00_00	宝箱006	14000960	AEG099_630_9006	0	14001606	AEG099_630	Asset	1	114	1	0
m14_00_00_00	宝箱007 望楼頂上追加	14000970	AEG099_630_9007	0	0	AEG099_630	Asset	1	14007970	1	0
m15_00_00_00	宝死体099	15000990	AEG099_990_9000	0	15001810	AEG099_990	DummyAsset	2	15007990	1	1
m16_00_00_00	アイテム光01	16000710	AEG099_990_9001	0	16001681	AEG099_990	Asset	2	16007710	1	0
m30_03_00_00	宝箱000	30030010	AEG099_630_9000	0	30031520	AEG099_630	Asset	1	30037010	1	0
m30_09_00_00	宝箱 ボス部屋	30090000	AEG099_630_9000	0	30091670	AEG099_630	Asset	1	30097000	1	0
m30_09_00_00	宝箱　マグマロード最奥	30090010	AEG099_630_9001	0	30091200	AEG099_630	Asset	1	30097010	1	0
m30_11_00_00	宝箱 ボス部屋	30110000	AEG099_630_9000	0	30111670	AEG099_630	Asset	1	30117000	1	0
m30_16_00_00	宝箱004	30160040	AEG099_013_9000	0	0	AEG099_013	Asset	1	30167040	1	0
m30_18_00_00	宝箱 最下層最奥	30180070	AEG099_630_9000	0	0	AEG099_630	Asset	1	30187070	1	0
m31_01_00_00	宝箱010	31010100	AEG099_633_9010	0	31011520	AEG099_633	Asset	1	31017060	1	0
m31_18_00_00	宝箱000	31180000	AEG099_630_9000	0	31181520	AEG099_630	Asset	1	66780	1	0
m31_18_00_00	宝箱001	31180010		0				1		0	0
m31_18_00_00	宝箱002	31180020	AEG099_630_9002	0	31181522	AEG099_630	Asset	1	31187020	1	0
m31_19_00_00	宝箱000	31190000	AEG099_630_9000	0	31191500	AEG099_630	Asset	1	31197000	1	0
m31_19_00_00	宝箱001	31190010	AEG099_630_9001	0	31191501	AEG099_630	Asset	1	31197010	1	0
m31_19_00_00	宝箱003	31190030	AEG099_630_9003	0	31191503	AEG099_630	Asset	1	31197030	1	0
m31_19_00_00	宝箱004	31190040	AEG099_630_9004	0	31191504	AEG099_630	Asset	1	31197040	1	0
m31_19_00_00	宝箱005	31190050	AEG099_630_9005	0	31191505	AEG099_630	Asset	1	31197050	1	0
m31_19_00_00	宝箱006	31190060	AEG099_630_9006	0	31191506	AEG099_630	Asset	1	31197060	1	0
m31_19_00_00	宝箱008	31190080	AEG099_630_9008	0	31191508	AEG099_630	Asset	1	31197080	1	0
m31_19_00_00	宝箱009	31190090	AEG099_630_9009	0	31191509	AEG099_630	Asset	1	31197090	1	0
m31_19_00_00	宝箱010	31190100	AEG099_630_9010	0	31191510	AEG099_630	Asset	1	31197100	1	0
m31_19_00_00	宝箱011	31190110	AEG099_630_9011	0	31191511	AEG099_630	Asset	1	31197110	1	0
m31_19_00_00	宝箱012	31190120	AEG099_630_9012	0	31191512	AEG099_630	Asset	1	31197120	1	0
m31_19_00_00	宝箱013	31190130	AEG099_630_9013	0	31191513	AEG099_630	Asset	1	31197130	1	0
m31_21_00_00	宝箱020	31210200	AEG099_630_9030	0	31211680	AEG099_630	Asset	1	31217200	1	0
m31_21_00_00	貴人宝箱040	31210400	AEG099_633_9040	0	31211690	AEG099_633	Asset	1	31217400	1	0
m32_00_00_00	宝箱000 イベントアイテム	32000900	AEG099_630_9000	0	32001600	AEG099_630	Asset	1	32007900	1	0
m32_02_00_00	宝死体000 ※貴人宝箱に変更	32020000	AEG099_633_9000	0	32021691	AEG099_633	Asset	1	32027000	1	1
m32_02_00_00	宝箱000	32020900	AEG099_630_9000	0	32021690	AEG099_630	Asset	1	32027900	1	0
m32_05_00_00	【ダミー化中】宝箱000	32050900		0				1	32057900	1	0
m32_05_00_00	宝箱001 ※貴人宝箱	32050910	AEG099_633_9000	0	32051691	AEG099_633	Asset	1	32057910	1	0
m32_08_00_00	宝箱000	32080900	AEG099_630_9000	0	0	AEG099_630	Asset	1	32087900	1	0
m32_08_00_00	宝箱001	32080910	AEG099_630_9001	0	0	AEG099_630	Asset	1	32087910	1	0
m34_12_00_00	宝死体013 巨大敵破壊アセット宝	34120130	AEG099_635_9000	0	34121650	AEG099_635	Asset	2	34127130	1	1
m34_12_00_00	宝箱000	34120900	AEG099_630_9000	0	0	AEG099_630	Asset	1	34127900	1	0
m34_13_00_00	宝箱000	34130900	AEG099_630_9000	0	34131600	AEG099_630	Asset	1	34137900	1	0
m40_00_00_00	宝箱000	40000900	AEG099_630_9000	0	0	AEG099_630	Asset	1	40007900	1	0
m40_01_00_00	宝箱000	40010900	AEG099_630_9000	0	40011650	AEG099_630	Asset	1	68780	1	0
m40_02_00_00	宝箱000	40020020	AEG099_630_9000	0	0	AEG099_630	Asset	1	40027020	1	0
m40_02_00_00	宝箱001 ダミー	40020140	AEG099_013_9001	0	0	AEG099_013	DummyAsset	1	40027140	1	0
