# AUTO-GENERATED by tools/datamine_esd_gates.py -- the EventFlag gating each merchant
# shop range, from ESDLang-decompiled ESD (thefifthmatt). gate_flag = the bell-bearing/
# release flag (-1 = ungated on that path); gate_sense = 1 set / 0 clear. Join
# shop_begin..end to ShopLineupParam rows for bell -> rows (MerchantBellLogic,
# multi-region resolution). A talk emits one row PER GATE PATH; rows are paths,
# not merchants. Args resolve through the ESD call chain (call-site kwargs),
# not just literals -- nomadic merchants forward shop1/shop2 ~5 hops.
# MEASURED THIS RUN: 137 sites (105 literal, 32 param) | 137 resolved | 183 rows,
#   118 distinct (talk,range) | 116 gated rows over 47 distinct gate flags
talk_id	gate_flag	gate_sense	shop_begin	shop_end
224006000	3765	0	100225	100249
224006000	1034499206	0	100225	100249
224006000	1034499206	1	100225	100249
302001000	3269	1	100000	100024
302001000	10009356	1	100000	100024
302001000	10009517	0	100000	100024
302011000	10009356	1	100000	100024
302021000	10009356	1	100000	100024
302031000	10009356	1	100000	100024
302041000	10009356	1	100000	100024
302051000	3269	1	100000	100024
302051000	10009356	1	100000	100024
302051000	10009517	0	100000	100024
302061000	10009356	1	100000	100024
302061000	10009517	0	100000	100024
307006000	3568	1	100275	100299
307006000	1034509335	0	100275	100299
307006000	1034509335	1	100275	100299
307106000	1035509205	1	100325	100349
309001600	3686	1	100100	100124
309001600	3687	1	100100	100124
309001600	3692	1	100100	100124
309001600	16009356	0	100100	100124
309001600	16009359	1	100100	100124
309003100	3686	1	100100	100124
309003100	3687	1	100100	100124
309003100	3692	1	100100	100124
309003100	16009356	0	100100	100124
309003100	16009359	1	100100	100124
309006000	3686	1	100100	100124
309006000	3687	1	100100	100124
309006000	3692	1	100100	100124
309006000	16009356	0	100100	100124
309006000	16009359	1	100100	100124
316006000	1044369208	1	100050	100074
316006000	1044369209	1	100050	100074
316206000	14009265	0	100050	100074
316206000	1034509257	1	100050	100074
316211400	14009265	0	100050	100074
316211400	1034509257	1	100050	100074
316301400	3469	1	100050	100074
319001110	1051439205	1	100125	100149
319006000	1051439205	1	100125	100149
325001000	10009606	0	100200	100224
325001000	10009606	1	100200	100224
325001000	10009616	1	100200	100224
325001000	11109505	1	100200	100224
325001000	11109530	1	100200	100224
325001110	10009606	0	100200	100224
325001110	10009606	1	100200	100224
325001110	10009616	1	100200	100224
325001110	11109505	1	100200	100224
